ID,类型,类别,场景,初始条件,演化记录,结论,证据,问题代码,原因/说明
N001,正常,基线矩阵,Forum × using_phone：常规单轮输入-输出,前景场=Forum（public_many / remote / async / persistent / weak / public / background / casual）；活动=using_phone（手机交互，输入开放较高，可移动）；无故障；若为 co_located 则 place_id 已匹配。,t0 普通新帖/回复进入 public_many 场；t1 visibleSlice 只给摘要；t2 async+background 使多数活动仅缓冲或下次唤醒时看到；t3 主动浏览时 post/reply。,通过,E_FIELD + E_OPS + E_COMBO,,Forum 的弱任务绑定、background 注意力与 persistent 生命周期能支撑该常规流。
N002,正常,基线矩阵,Forum × using_computer：常规单轮输入-输出,前景场=Forum（public_many / remote / async / persistent / weak / public / background / casual）；活动=using_computer（电脑交互，中等开放，中等输出）；无故障；若为 co_located 则 place_id 已匹配。,t0 普通新帖/回复进入 public_many 场；t1 visibleSlice 只给摘要；t2 async+background 使多数活动仅缓冲或下次唤醒时看到；t3 主动浏览时 post/reply。,通过,E_FIELD + E_OPS + E_COMBO,,Forum 的弱任务绑定、background 注意力与 persistent 生命周期能支撑该常规流。
N003,正常,基线矩阵,Forum × writing_on_computer：常规单轮输入-输出,前景场=Forum（public_many / remote / async / persistent / weak / public / background / casual）；活动=writing_on_computer（深度写作，输入稀疏，可中断性低，通常 anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 普通新帖/回复进入 public_many 场；t1 visibleSlice 只给摘要；t2 async+background 使多数活动仅缓冲或下次唤醒时看到；t3 主动浏览时 post/reply。,通过,E_FIELD + E_OPS + E_COMBO,,Forum 的弱任务绑定、background 注意力与 persistent 生命周期能支撑该常规流。
N004,正常,基线矩阵,Forum × thinking_deep：常规单轮输入-输出,前景场=Forum（public_many / remote / async / persistent / weak / public / background / casual）；活动=thinking_deep（深度思考，urgent_only，输出低，anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 普通新帖/回复进入 public_many 场；t1 visibleSlice 只给摘要；t2 async+background 使多数活动仅缓冲或下次唤醒时看到；t3 主动浏览时 post/reply。,通过,E_FIELD + E_OPS + E_COMBO,,Forum 的弱任务绑定、background 注意力与 persistent 生命周期能支撑该常规流。
N005,正常,基线矩阵,Forum × resting：常规单轮输入-输出,前景场=Forum（public_many / remote / async / persistent / weak / public / background / casual）；活动=resting（休息，低输出，唤醒门槛升高）；无故障；若为 co_located 则 place_id 已匹配。,t0 普通新帖/回复进入 public_many 场；t1 visibleSlice 只给摘要；t2 async+background 使多数活动仅缓冲或下次唤醒时看到；t3 主动浏览时 post/reply。,通过,E_FIELD + E_OPS + E_COMBO,,Forum 的弱任务绑定、background 注意力与 persistent 生命周期能支撑该常规流。
N006,正常,基线矩阵,Forum × exercising：常规单轮输入-输出,前景场=Forum（public_many / remote / async / persistent / weak / public / background / casual）；活动=exercising（运动，身体占用高，外部输入低频）；无故障；若为 co_located 则 place_id 已匹配。,t0 普通新帖/回复进入 public_many 场；t1 visibleSlice 只给摘要；t2 async+background 使多数活动仅缓冲或下次唤醒时看到；t3 主动浏览时 post/reply。,通过,E_FIELD + E_OPS + E_COMBO,,Forum 的弱任务绑定、background 注意力与 persistent 生命周期能支撑该常规流。
N007,正常,基线矩阵,Forum × recovering：常规单轮输入-输出,前景场=Forum（public_many / remote / async / persistent / weak / public / background / casual）；活动=recovering（恢复态，P0/P1 生存规则优先，consuming 活动受限）；无故障；若为 co_located 则 place_id 已匹配。,t0 普通新帖/回复进入 public_many 场；t1 visibleSlice 只给摘要；t2 async+background 使多数活动仅缓冲或下次唤醒时看到；t3 主动浏览时 post/reply。,通过,E_FIELD + E_OPS + E_COMBO,,Forum 的弱任务绑定、background 注意力与 persistent 生命周期能支撑该常规流。
N008,正常,基线矩阵,Online Group Chat × using_phone：常规单轮输入-输出,前景场=Online Group Chat（group / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=using_phone（手机交互，输入开放较高，可移动）；无故障；若为 co_located 则 place_id 已匹配。,t0 群消息到达；t1 priorityOf 由 engaged 与是否 mention 决定；t2 using_phone/computer 可直接感知，深写/深思/休息多缓冲；t3 输出为群消息/mention/附件。,通过,E_FIELD + E_OPS + E_COMBO + E_ACTIVITY,,群聊门控总体闭环；但 exercising/recovering/resting 等活动与群聊的细粒度耦合主要靠 RuntimeEnvelope 外推。
N009,正常,基线矩阵,Online Group Chat × using_computer：常规单轮输入-输出,前景场=Online Group Chat（group / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=using_computer（电脑交互，中等开放，中等输出）；无故障；若为 co_located 则 place_id 已匹配。,t0 群消息到达；t1 priorityOf 由 engaged 与是否 mention 决定；t2 using_phone/computer 可直接感知，深写/深思/休息多缓冲；t3 输出为群消息/mention/附件。,通过,E_FIELD + E_OPS + E_COMBO + E_ACTIVITY,,群聊门控总体闭环；但 exercising/recovering/resting 等活动与群聊的细粒度耦合主要靠 RuntimeEnvelope 外推。
N010,正常,基线矩阵,Online Group Chat × writing_on_computer：常规单轮输入-输出,前景场=Online Group Chat（group / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=writing_on_computer（深度写作，输入稀疏，可中断性低，通常 anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 群消息到达；t1 priorityOf 由 engaged 与是否 mention 决定；t2 using_phone/computer 可直接感知，深写/深思/休息多缓冲；t3 输出为群消息/mention/附件。,通过,E_FIELD + E_OPS + E_COMBO + E_ACTIVITY,,群聊门控总体闭环；但 exercising/recovering/resting 等活动与群聊的细粒度耦合主要靠 RuntimeEnvelope 外推。
